Civilite,Nom,Prenom,Mandat,Circonscription,Departement,Candidat,Date_de_publication,,,,,,,,
Mme,THILL,Marie-Josée,Maire,Haute-Kontz,Moselle,ARTHAUD Nathalie,15/02/2022,,,,,,,,
M.,BEAURAIN,Yves,Maire,Quincampoix-Fleuzy,Oise,ARTHAUD Nathalie,15/02/2022,,,,,,,,
M.,ALLEAU,Jacky,Maire,Ménil-Hubert-sur-Orne,Orne,ARTHAUD Nathalie,15/02/2022,,,,,,,,
Mme,BUSSY-BOITEUX,Lydia,Maire,Feings,Orne,ARTHAUD Nathalie,15/02/2022,,,,,,,,
M.,LAMOTHE,Patrick,Maire,Guêprei,Orne,ARTHAUD Nathalie,15/02/2022,,,,,,,,
Mme,ROYER BERGER,Frédérique,Maire déléguée d'une commune associée ou d'une commune déléguée,Longny les Villages,Orne,ARTHAUD Nathalie,15/02/2022,,,,,,,,
M.,CORDIER,André,Maire,Quelmes,Pas-de-Calais,ARTHAUD Nathalie,15/02/2022,,,,,,,,
M.,LEDRU,Daniel,Maire,Gommecourt,Pas-de-Calais,ARTHAUD Nathalie,15/02/2022,,,,,,,,
M.,CAVALIERE,Jean-Jacques,Maire,Vertaizon,Puy-de-Dôme,ARTHAUD Nathalie,15/02/2022,,,,,,,,
M.,DERRIEN,Janick,Maire,Reignat,Puy-de-Dôme,ARTHAUD Nathalie,15/02/2022,,,,,,,,
M.,BAKLOUTI,Jean-Philippe,Maire,Allier,Hautes-Pyrénées,ARTHAUD Nathalie,15/02/2022,,,,,,,,
M.,CRAMPE,Jean-Louis,Maire,Ourdon,Hautes-Pyrénées,ARTHAUD Nathalie,15/02/2022,,,,,,,,
M.,LARRÉ,Bernard,Maire,Peyraube,Hautes-Pyrénées,ARTHAUD Nathalie,15/02/2022,,,,,,,,
Mme,TERNISIEN,Sylviane,Maire,Saint-Clément-de-Vers,Rhône,ARTHAUD Nathalie,15/02/2022,,,,,,,,
M.,SAGET,Alain,Maire,Neurey-en-Vaux,Haute-Saône,ARTHAUD Nathalie,15/02/2022,,,,,,,,
M.,BARETELLA,Antonio,Maire,Saint-Privé,Saône-et-Loire,ARTHAUD Nathalie,15/02/2022,,,,,,,,
M.,PINTO,Christophe,Maire,Volnay,Sarthe,ARTHAUD Nathalie,15/02/2022,,,,,,,,
M.,ROPHILLE,Christian,Maire délégué d'une commune associée ou d'une commune déléguée,Fillière,Haute-Savoie,ARTHAUD Nathalie,15/02/2022,,,,,,,,
M.,ARGENTIN,Christophe,Maire délégué d'une commune associée ou d'une commune déléguée,Le Havre,Seine-Maritime,ARTHAUD Nathalie,15/02/2022,,,,,,,,
M.,POISSANT,Pierre,Maire,Parc-d'Anxtot,Seine-Maritime,ARTHAUD Nathalie,15/02/2022,,,,,,,,
M.,BOULENGER,Raynald,Maire,Saint-Quentin-la-Motte-Croix-au-Bailly,Somme,ARTHAUD Nathalie,15/02/2022,,,,,,,,
M.,FORESTIER,Alex,Maire,Estrées-sur-Noye,Somme,ARTHAUD Nathalie,15/02/2022,,,,,,,,
M.,PRUVOST,Fabien,Maire délégué d'une commune associée ou d'une commune déléguée,Lafresguimont-Saint-Martin,Somme,ARTHAUD Nathalie,15/02/2022,,,,,,,,
M.,HAUPTMANN,Mathias,Maire,Lacoste,Vaucluse,ARTHAUD Nathalie,15/02/2022,,,,,,,,
Mme,PARVERIE,Maryse,Maire,Champsac,Haute-Vienne,ARTHAUD Nathalie,15/02/2022,,,,,,,,
M.,HAUSERMANN,Jean-Paul,Maire,Xaffévillers,Vosges,ARTHAUD Nathalie,15/02/2022,,,,,,,,
M.,MARMEUSE,Jean Claude,Maire,Rouvres-la-Chétive,Vosges,ARTHAUD Nathalie,15/02/2022,,,,,,,,
M.,POURCHERT,Michel,Maire,Sainte-Hélène,Vosges,ARTHAUD Nathalie,15/02/2022,,,,,,,,
M.,PRUNIER,Guillaume,Maire,Luvigny,Vosges,ARTHAUD Nathalie,15/02/2022,,,,,,,,
M.,JACQUEY,Marc,Maire,Leval,Territoire de Belfort,ARTHAUD Nathalie,15/02/2022,,,,,,,,
M.,MONTHIEUX,Alfred,Maire,Le Robert,Martinique,ARTHAUD Nathalie,15/02/2022,,,,,,,,
M.,COUTEAU,Thierry,Maire,Sainte-Colombe-sur-l'Hers,Aude,ASSELINEAU François,15/02/2022,,,,,,,,
M.,MAURY,David,Maire,Balaguier-sur-Rance,Aveyron,ASSELINEAU François,15/02/2022,,,,,,,,
M.,SALES,Guy,Maire,Arnac-sur-Dourdou,Aveyron,ASSELINEAU François,15/02/2022,,,,,,,,
M.,VINCENT,Patrice,Maire,Saint-Brice,Charente,ASSELINEAU François,15/02/2022,,,,,,,,
M.,POISBELAUD,Eric,Maire,Antezant-la-Chapelle,Charente-Maritime,ASSELINEAU François,15/02/2022,,,,,,,,
M.,AUTEFORT,Jean-François,Maire,Saint-Félix-de-Reillac-et-Mortemart,Dordogne,ASSELINEAU François,15/02/2022,,,,,,,,
M.,MONCEYRON,Christian,Maire délégué d'une commune associée ou d'une commune déléguée,Mareuil en Périgord,Dordogne,ASSELINEAU François,15/02/2022,,,,,,,,
M.,FRICHOT,Bruno,Maire,Collandres-Quincarnon,Eure,ASSELINEAU François,15/02/2022,,,,,,,,
M.,VIGNE,Alexandre,Maire,Lanuéjols,Gard,ASSELINEAU François,15/02/2022,,,,,,,,
Mme,BOURREL,Marina,Maire,Brignac,Hérault,ASSELINEAU François,15/02/2022,,,,,,,,
M.,GUTTON,Michel,Maire,Aumes,Hérault,ASSELINEAU François,15/02/2022,,,,,,,,
M.,NICOD,Michel,Maire,Gizia,Jura,ASSELINEAU François,15/02/2022,,,,,,,,
Mme,SALIHI,Sophie,Maire,Praslay,Haute-Marne,ASSELINEAU François,15/02/2022,,,,,,,,
Mme,ZIANE-ZAÏA,Maya,Maire déléguée d'une commune associée ou d'une commune déléguée,Passais Villages,Orne,ASSELINEAU François,15/02/2022,,,,,,,,
M.,RAGUE,Claude,Maire,Selles,Haute-Saône,ASSELINEAU François,15/02/2022,,,,,,,,
M.,AVET,Hubert,Maire,Lignières-Châtelain,Somme,ASSELINEAU François,15/02/2022,,,,,,,,
M.,FURGEROT,Christian,Maire,Famechon,Somme,ASSELINEAU François,15/02/2022,,,,,,,,
M.,PARIS,Bruno,Maire,Puy-Sanières,Hautes-Alpes,BÉKAERT Corinne,15/02/2022,,,,,,,,
M.,FRANCKE,Stéphane,Maire,Herzeele,Nord,BÉKAERT Corinne,15/02/2022,,,,,,,,
M.,AIX,Raphaël,Maire,Courchelettes,Nord,CAU Marie,15/02/2022,,,,,,,,
M.,FREYERMUTH,Michaël,Maire,Kalhausen,Moselle,CHICHE Arnaud,15/02/2022,,,,,,,,
M.,DELAUNE,Daniel,Maire,Grand-Camp,Seine-Maritime,CHICHE Arnaud,15/02/2022,,,,,,,,
M.,BILLORE,Robert,Maire,Lihons,Somme,CHICHE Arnaud,15/02/2022,,,,,,,,
M.,PATIER,François,Maire,Nespouls,Corrèze,COJAN Patrick,15/02/2022,,,,,,,,
M.,THIBOUD,Bernard,Maire,Anglefort,Ain,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,COMPERE,Alain,Maire,Esquéhéries,Aisne,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,DEGOUY,Michel,Maire,Fressancourt,Aisne,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,LAMBERT,Christian,Maire,Martigny-Courpierre,Aisne,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,LEFEVRE,Claude,Maire,Vigneux-Hocquet,Aisne,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,MICHALAK,Patrick,Maire,Fontaine-Uterte,Aisne,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,SAROUL,Daniel,Maire,Reuilly-Sauvigny,Aisne,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,AMAR,Jean-Marie Paul Joseph,Maire,Saint-Laurent-du-Cros,Hautes-Alpes,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,AFRIBO,Joseph,Maire,Rethel,Ardennes,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,DERVAUX,Sébastien,Maire,Mesmont,Ardennes,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,NOIZET,Christian,Maire,Barby,Ardennes,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,VOLHUER,Michel,Maire,Bouranton,Aube,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,MARCENGO,Rémi,Maire,Saint-Savournin,Bouches-du-Rhône,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,DESHAYES,Patrick,Maire,Asnières-en-Bessin,Calvados,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,DESERT,Alain,Maire,Montignac-le-Coq,Charente,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,LAMIRAUD,Gérard,Maire,Courcerac,Charente-Maritime,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,MICHEL,Jean-Louis,Maire,Segonzac,Corrèze,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,ROUSSEL,Stéphane,Maire,Vannaire,Côte-d'Or,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
Mme,SULLEROT,Katia,Maire,Gurgy-la-Ville,Côte-d'Or,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,JULLIARD,Christian,Maire,Toulx-Sainte-Croix,Creuse,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,CHASSAGNE,Éric,Maire,Trémolat,Dordogne,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,DELFOUR,Paul-Mary,Maire,Bouillac,Dordogne,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,MONTEIL,Jean-Claude,Maire,Liorac-sur-Louyre,Dordogne,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,VENTELOU,Christian,Maire,Orliac,Dordogne,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,BOMPARD,Guy,Maire,Bézaudun-sur-Bîne,Drôme,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,PASERO,Jean-Noël,Maire,Montfroc,Drôme,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,TESTOUD,Olivier,Maire,Sainte-Eulalie-en-Royans,Drôme,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
Mme,MABIRE,Dominique,Maire,Barquet,Eure,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,CAVET,Jean-Marc,Maire,Saint-Prest,Eure-et-Loir,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,OZIL,Cyril,Maire,Euzet,Gard,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,BURDEYRON,Daniel,Maire,Rogna,Jura,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,DEJEUX,Alain,Maire,Augerans,Jura,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,DORBON,Henri,Maire,Vadans,Jura,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,MAIROT,Daniel,Maire,Villeneuve-d'Aval,Jura,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
Mme,GRANGER,Claire,Maire,Sasnières,Loir-et-Cher,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,TAGOT,Philippe,Maire,Boismorand,Loiret,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,BESSIÈRES,Christian,Maire,Porte-du-Quercy,Lot,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,DESTIEU,Jean-Paul,Maire,Lacaussade,Lot-et-Garonne,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,VISINTIN,Jacques,Maire,Saint-Salvy,Lot-et-Garonne,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,COURTEILLE,Éric,Maire,Buais-Les-Monts,Manche,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,MARY,Michel,Maire,Lingeard,Manche,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
Mme,GEOFFROY,Michelle,Maire,Margerie-Hancourt,Marne,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,VAQUETTE,Daniel,Maire,Pévy,Marne,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,BILLANT,Denis,Maire,Celsoy,Haute-Marne,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
Mme,MILBACH,Nicole,Maire,Fréménil,Meurthe-et-Moselle,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,BOUR,Rémy,Maire,Houdelaincourt,Meuse,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,CAMUS,Marc,Maire,Ranzières,Meuse,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,LANG,Régis,Maire,Moranville,Meuse,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,LOISY,Michel,Maire,Hévilliers,Meuse,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,BEYEL,Gaël,Maire,Lostroff,Moselle,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,BOUCHE,Etienne,Maire,Rorbach-lès-Dieuze,Moselle,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,BUTLINGAIRE,Olivier,Maire,Bréhain,Moselle,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,MICHEL,Emmanuel,Maire,Téterchen,Moselle,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,SCHAEDGEN,Denis,Maire,Bermering,Moselle,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,THIS,Rémy,Maire,Boustroff,Moselle,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,VEISS,Denis,Maire,Secourt,Moselle,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,DELESMILLIERES,Stéphane,Maire,Corvol-d'Embernard,Nièvre,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,GAUTHIER,Jean-Claude,Maire,Metz-le-Comte,Nièvre,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,MARTIN,Louis-François,Maire,Marzy,Nièvre,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,GREVIN,Régis,Maire,Le Ployron,Oise,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,MOUILLESEAUX,Marc,Maire,Rieux,Oise,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,MILORD,Franck,Maire,Sauvagnat,Puy-de-Dôme,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,BOYA,Jean-Marc,Maire,Adé,Hautes-Pyrénées,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,WINLING,Nicolas,Maire,Dahlenheim,Bas-Rhin,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,WALTER,Hervé,Maire,Levoncourt,Haut-Rhin,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,ROY,Armand,Maire,Flagy,Saône-et-Loire,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,LE BRAY,Alain,Maire,Nogent-le-Bernard,Sarthe,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
Mme,ANDRES,Sylvie,Maire,La Rivière-Enverse,Haute-Savoie,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
Mme,BERTRAND,Sabrina,Maire,Saint-Jean-de-Tholome,Haute-Savoie,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,NOEL,Charly,Maire,Mauny,Seine-Maritime,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,CASTELLAN,Laurent,Maire,Bransles,Seine-et-Marne,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,TRAWINSKI,Andre,Maire,Chartronges,Seine-et-Marne,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,PRADEILHES,Jean-Claude,Maire,Davenescourt,Somme,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,SCHIETTECATTE,Benoît,Maire,Villecourt,Somme,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
Mme,ADAM,Christine,Maire,Hennecourt,Vosges,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,HUGUENIN,Bruno,Maire,Padoux,Vosges,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,MICHAUT,Jean,Maire,Beine,Yonne,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,CLODONG,Olivier,Maire,Yerres,Essonne,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,DAMIATI,Michaël,Maire,Crosne,Essonne,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
Mme,BIDEL,Martine,Maire,Le Mesnil-Aubry,Val-d'Oise,DUPONT-AIGNAN Nicolas,15/02/2022,,,,,,,,
M.,GRANDO,Anthony,Maire,Pommiers,Aisne,EGGER Clara,15/02/2022,,,,,,,,
M.,FAURE,Alexandre,Maire,Vernon,Ardèche,EGGER Clara,15/02/2022,,,,,,,,
M.,BERTEAUX,Patrick,Maire,Bulson,Ardennes,EGGER Clara,15/02/2022,,,,,,,,
Mme,MARTIN,Chantal,Maire,Bouan,Ariège,EGGER Clara,15/02/2022,,,,,,,,
M.,BOUREUX,Mathieu,Maire,Le Gallet,Oise,EGGER Clara,15/02/2022,,,,,,,,
M.,MILLET LACOMBE,Pierre,Maire,Ladignac-le-Long,Haute-Vienne,EGGER Clara,15/02/2022,,,,,,,,
Mme,WIEL,Monique,Maire,Val-Revermont,Ain,HIDALGO Anne,15/02/2022,,,,,,,,
M.,DENIZOT,Alain,Maire,Avermes,Allier,HIDALGO Anne,15/02/2022,,,,,,,,
Mme,FOUCAULT,Pascale,Conseillère départementale,,Allier,HIDALGO Anne,15/02/2022,,,,,,,,
M.,POURCIN,Pierre,Maire,Villemus,Alpes-de-Haute-Provence,HIDALGO Anne,15/02/2022,,,,,,,,
M.,DEFFREIX,Christophe,Maire,Planzolles,Ardèche,HIDALGO Anne,15/02/2022,,,,,,,,
Mme,DUBOIS,Sylvie,Maire,Villeneuve-de-Berg,Ardèche,HIDALGO Anne,15/02/2022,,,,,,,,
Mme,ROCHE,Bernadette,Conseillère départementale,,Ardèche,HIDALGO Anne,15/02/2022,,,,,,,,
M.,UGHETTO,René,Maire,Orgnac-l'Aven,Ardèche,HIDALGO Anne,15/02/2022,,,,,,,,
M.,DECOBERT,Philippe,Maire,Aiglemont,Ardennes,HIDALGO Anne,15/02/2022,,,,,,,,
Mme,AURIAC,Nathalie,Conseillère départementale,,Ariège,HIDALGO Anne,15/02/2022,,,,,,,,
M.,BERDOU,Raymond,Maire,Le Mas-d'Azil,Ariège,HIDALGO Anne,15/02/2022,,,,,,,,
M.,BLASQUEZ,Jérome,Conseiller départemental,,Ariège,HIDALGO Anne,15/02/2022,,,,,,,,
M.,CAYROL,Jacques,Maire,Carcanières,Ariège,HIDALGO Anne,15/02/2022,,,,,,,,
Mme,EYCHENNE,Marie-Pierre,Maire,Castelnau-Durban,Ariège,HIDALGO Anne,15/02/2022,,,,,,,,
M.,MARFAING,Alain,Maire,Gestiès,Ariège,HIDALGO Anne,15/02/2022,,,,,,,,
M.,PALACIOS,Serge,Maire,Pradières,Ariège,HIDALGO Anne,15/02/2022,,,,,,,,
M.,PICHAN,Michel,Conseiller départemental,,Ariège,HIDALGO Anne,15/02/2022,,,,,,,,
Mme,QUILLIEN,Nicole,Conseillère départementale,,Ariège,HIDALGO Anne,15/02/2022,,,,,,,,
M.,ANDRIEU,Philippe,Maire,Cépie,Aude,HIDALGO Anne,15/02/2022,,,,,,,,
M.,BARO,Hervé,Conseiller départemental,,Aude,HIDALGO Anne,15/02/2022,,,,,,,,
M.,BELS,Francis,Maire,Roquefère,Aude,HIDALGO Anne,15/02/2022,,,,,,,,
M.,CHANAUD,Anthony,Conseiller départemental,,Aude,HIDALGO Anne,15/02/2022,,,,,,,,
M.,CLERGUE,Philippe,Maire,Cabrespine,Aude,HIDALGO Anne,15/02/2022,,,,,,,,
Mme,CONQUET,Maria,Conseillère départementale,,Aude,HIDALGO Anne,15/02/2022,,,,,,,,
M.,CUXAC,Christophe,Maire,Montazels,Aude,HIDALGO Anne,15/02/2022,,,,,,,,
Mme,DANILLON,Chloé,Conseillère départementale,,Aude,HIDALGO Anne,15/02/2022,,,,,,,,
Mme,FAUCON-MEJEAN,Claudie,Maire,Bram,Aude,HIDALGO Anne,15/02/2022,,,,,,,,
M.,GRIFFE,Paul,Conseiller départemental,,Aude,HIDALGO Anne,15/02/2022,,,,,,,,
M.,PROUST,Michel,Maire,Villegailhenc,Aude,HIDALGO Anne,15/02/2022,,,,,,,,
M.,VALLIERE,Pascal,Maire,Pépieux,Aude,HIDALGO Anne,15/02/2022,,,,,,,,
M.,VIOLA,André,Conseiller départemental,,Aude,HIDALGO Anne,15/02/2022,,,,,,,,
M.,FIOL,Richard,Maire,Nant,Aveyron,HIDALGO Anne,15/02/2022,,,,,,,,
M.,HETSCH,Jean,Maire,Fos-sur-Mer,Bouches-du-Rhône,HIDALGO Anne,15/02/2022,,,,,,,,
Mme,KERGUÉLEN,Martine,Conseillère départementale,,Calvados,HIDALGO Anne,15/02/2022,,,,,,,,
M.,VÈVE,Eric,Conseiller départemental,,Calvados,HIDALGO Anne,15/02/2022,,,,,,,,
M.,POULHES,Christian,Maire,Naucelles,Cantal,HIDALGO Anne,15/02/2022,,,,,,,,
M.,BONNET,Franck,Maire,Saint-Fraigne,Charente,HIDALGO Anne,15/02/2022,,,,,,,,
M.,FILLEUL,Michel,Maire,Massac,Charente-Maritime,HIDALGO Anne,15/02/2022,,,,,,,,
M.,GIRAUDEAU,Patrick,Maire,Montendre,Charente-Maritime,HIDALGO Anne,15/02/2022,,,,,,,,
Mme,NÉDELLEC,Marie,Conseillère départementale,,Charente-Maritime,HIDALGO Anne,15/02/2022,,,,,,,,
M.,MÉCHIN,Serge,Conseiller départemental,,Cher,HIDALGO Anne,15/02/2022,,,,,,,,
Mme,ROBINSON,Sakina,Conseillère départementale,,Cher,HIDALGO Anne,15/02/2022,,,,,,,,
M.,DUCHAMP,Sébastien,Maire,Argentat-sur-Dordogne,Corrèze,HIDALGO Anne,15/02/2022,,,,,,,,
M.,AUDARD,Patrick,Conseiller départemental,,Côte-d'Or,HIDALGO Anne,15/02/2022,,,,,,,,
M.,GUEGUEN,Alain,Conseiller départemental,,Côtes-d'Armor,HIDALGO Anne,15/02/2022,,,,,,,,
M.,LE GAOUYAT,Samuel,Maire,Pontrieux,Côtes-d'Armor,HIDALGO Anne,15/02/2022,,,,,,,,
M.,ALARY,Jean-Luc,Maire,Villamblard,Dordogne,HIDALGO Anne,15/02/2022,,,,,,,,
Mme,ANGLARD,Régine,Conseillère départementale,,Dordogne,HIDALGO Anne,15/02/2022,,,,,,,,
M.,KRUCIEN,Raphaël,Conseiller départemental,,Doubs,HIDALGO Anne,15/02/2022,,,,,,,,
M.,ARNAUD,Samuel,Conseiller régional,Auvergne-Rhône-Alpes,Drôme,HIDALGO Anne,15/02/2022,,,,,,,,
M.,COUPON,Gérard,Maire,Montauban-sur-l'Ouvèze,Drôme,HIDALGO Anne,15/02/2022,,,,,,,,
Mme,PEREZ,Laurence,Maire,Saint-Jean-de-Galaure,Drôme,HIDALGO Anne,15/02/2022,,,,,,,,
M.,DELAMARE,Frédéric,Maire,Serquigny,Eure,HIDALGO Anne,15/02/2022,,,,,,,,
Mme,ASSIH,Isabelle,Maire,Quimper,Finistère,HIDALGO Anne,15/02/2022,,,,,,,,
M.,CUILLANDRE,François,Maire,Brest,Finistère,HIDALGO Anne,15/02/2022,,,,,,,,
M.,DE CLERMONT-TONNERRE,Renaud,Maire,Plouégat-Guérand,Finistère,HIDALGO Anne,15/02/2022,,,,,,,,
Mme,KUCHEL,Émilie,Conseillère régionale,Bretagne,Finistère,HIDALGO Anne,15/02/2022,,,,,,,,
M.,PELLETER,Bernard,Conseiller départemental,,Finistère,HIDALGO Anne,15/02/2022,,,,,,,,
Mme,BERGERI,Carole,Conseillère départementale,,Gard,HIDALGO Anne,15/02/2022,,,,,,,,
M.,DENAT,Jean,Maire,Vauvert,Gard,HIDALGO Anne,15/02/2022,,,,,,,,
Mme,GIANNACCINI,Maryse,Conseillère départementale,,Gard,HIDALGO Anne,15/02/2022,,,,,,,,
Mme,LAURENT-PERRIGOT,Françoise,Conseillère départementale,,Gard,HIDALGO Anne,15/02/2022,,,,,,,,
Mme,BOYER,Anne Fanny,Conseillère départementale,,Haute-Garonne,HIDALGO Anne,15/02/2022,,,,,,,,
M.,ESPIC,Bruno,Maire,Saint-Jean,Haute-Garonne,HIDALGO Anne,15/02/2022,,,,,,,,
M.,FOUCHIER,Dominique,Maire,Tournefeuille,Haute-Garonne,HIDALGO Anne,15/02/2022,,,,,,,,
M.,GIBERT,Vincent,Conseiller départemental,,Haute-Garonne,HIDALGO Anne,15/02/2022,,,,,,,,
M.,GOJARD,Loic,Conseiller départemental,,Haute-Garonne,HIDALGO Anne,15/02/2022,,,,,,,,
M.,GRIMAUD,Robert,Maire,Fonbeauzard,Haute-Garonne,HIDALGO Anne,15/02/2022,,,,,,,,
M.,LAGARRIGUE,Pierre,Maire,Le Fousseret,Haute-Garonne,HIDALGO Anne,15/02/2022,,,,,,,,
M.,LOSEGO,Jean-Michel,Maire,Aurignac,Haute-Garonne,HIDALGO Anne,15/02/2022,,,,,,,,
Mme,MILLET,Chantal,Maire,Saint-Marcet,Haute-Garonne,HIDALGO Anne,15/02/2022,,,,,,,,
M.,PICARD,Jean-Luc,Maire,Beauchalot,Haute-Garonne,HIDALGO Anne,15/02/2022,,,,,,,,
M.,PORTET,Christian,Maire,Calmont,Haute-Garonne,HIDALGO Anne,15/02/2022,,,,,,,,
Mme,UCHAN,Marie-Claire,Maire,Saint-Bertrand-de-Comminges,Haute-Garonne,HIDALGO Anne,15/02/2022,,,,,,,,
M.,BALAS,Max,Maire,Tachoires,Gers,HIDALGO Anne,15/02/2022,,,,,,,,
M.,BEGUE,Gilles,Maire,Thoux,Gers,HIDALGO Anne,15/02/2022,,,,,,,,
M.,BONNE,Camille,Conseiller départemental,,Gers,HIDALGO Anne,15/02/2022,,,,,,,,
M.,CAHUZAC,Philippe,Maire,Justian,Gers,HIDALGO Anne,15/02/2022,,,,,,,,
Mme,DUMONT,Charline,Conseillère départementale,,Gers,HIDALGO Anne,15/02/2022,,,,,,,,
M.,LAPREBENDE,Christian,Maire,Auch,Gers,HIDALGO Anne,15/02/2022,,,,,,,,
M.,PARGADE,Jacques,Maire,Projan,Gers,HIDALGO Anne,15/02/2022,,,,,,,,
Mme,AGULLANA,Marie-Claude,Maire,Le Tourne,Gironde,HIDALGO Anne,15/02/2022,,,,,,,,
M.,DUCOUT,Pierre,Maire,Cestas,Gironde,HIDALGO Anne,15/02/2022,,,,,,,,
M.,GALAND,Jean-Henri,Conseiller départemental,,Gironde,HIDALGO Anne,15/02/2022,,,,,,,,
